No Terrain Type:
Grass: 0.017, 0.007, 0.090, 0.042, 0.042, 0.042
Vine Tree: 0.000, 0.000, 0.000, 0.174, 0.216, 0.300
Corner Wall: 0.000, 0.000, 0.000, 0.020, 0.020, 0.020
Wall Straight:0.000, 0.000, 0.000, 0.020, 0.020, 0.020
Stone Floor: 0.000, 0.000, 0.000, 0.020, 0.020, 0.020
Pillar Square: 0.000, 0.000, 0.000, 0.020, 0.020, 0.020
Wall Arch: 0.000, 0.000, 0.000, 0.020, 0.020, 0.020
Wall Curved: 0.000, 0.000, 0.000, 0.020, 0.020, 0.020
Well on Tile: 0.000, 0.000, 0.000, 0.020, 0.020, 0.020
Altar: 0.000, 0.000, 0.000, 0.020, 0.020, 0.020
